Num1,Num2,Num3,Num4,Num5,Num6,bnsNum,총1등당첨금,1등당첨인원,1등수령액
2,5,10,18,31,32,30,0,7,1322052643
6,8,18,31,38,45,42,0,3,3137224600
2,7,15,24,30,45,28,0,3,3117640300
13,33,37,40,41,45,2,0,3,3164370100
1,15,19,40,42,44,17,0,3,3236566300
6,12,24,27,35,37,41,0,7,1328657100
1,12,17,28,35,41,10,0,4,2357261550
3,14,33,37,38,42,10,9181683900,0,0
8,13,18,32,39,45,7,0,13,2149214424
3,7,8,18,20,42,45,0,7,1450585200
17,18,31,32,33,34,10,0,14,720373950
1,9,17,21,29,33,24,0,6,1656764400
6,10,17,30,37,38,40,9626019900,4,2406504975
1,4,12,16,18,38,8,9823300500,0,0
3,8,15,27,30,45,44,24528706200,8,3066088275
6,11,19,20,28,32,34,10113337500,2,5056668750
5,9,27,29,37,40,19,9909778500,1,9909778500
1,3,20,25,36,45,24,10386407700,7,1483772529
7,9,10,12,26,38,39,10033109100,12,836092425
7,11,13,33,37,43,26,10131695100,7,1447385015
13,19,20,32,38,42,4,10944334500,2,5472167250
2,14,17,30,38,45,43,10036494000,6,1672749000
4,10,16,26,33,41,38,9969876900,6,1661646150
7,8,18,21,23,39,9,10041050700,5,2008210140
4,18,23,30,34,41,19,10513347600,5,2102669520
5,15,21,23,25,45,12,10350573000,4,2587643250
14,15,17,19,37,45,40,10232872800,1,10232872800
1,2,5,11,18,36,22,9917852400,11,901622946
1,5,19,28,34,41,16,10373706600,8,1296713325
4,12,24,27,28,32,10,9901528500,8,1237691063
2,3,5,6,12,20,25,9435267300,15,629017820
9,17,34,35,43,45,2,10292536800,6,1715422800
15,17,19,34,38,41,2,9963073200,6,1660512200
1,13,33,35,43,45,23,10469829000,8,1308728625
10,11,21,27,31,39,43,10041518400,6,1673586400
3,10,11,22,36,39,8,10305034200,4,2576258550
2,17,19,20,34,45,21,10866929400,9,1207436600
5,8,22,28,33,42,37,10678296900,5,2135659380
16,19,23,25,41,45,3,11026135800,2,5513067900
12,18,20,21,25,34,42,11754816600,6,1959136100
9,18,29,32,38,43,20,11427268200,6,1904544700
10,14,15,32,36,42,3,11688203100,8,1461025388
2,4,21,25,33,36,17,11190782100,6,1865130350
7,17,20,32,44,45,33,10836734700,6,1806122450
16,23,25,33,36,39,40,10992807300,6,1832134550
6,12,13,17,32,44,24,10592097000,12,882674750
1,6,9,16,17,28,24,10918775400,6,1819795900
9,17,19,30,35,42,4,10982347200,6,1830391200
3,4,16,17,19,20,23,10460521800,9,1162280200
4,9,14,26,31,44,39,10829513100,5,2165902620
16,17,34,36,42,45,3,10875587100,8,1359448388
5,14,27,30,39,43,35,10856910000,7,1550987143
13,15,21,29,39,43,33,10661020800,7,1523002972
5,9,16,23,26,45,21,10187462400,5,2037492480
3,5,20,34,35,44,16,10113795900,6,1685632650
1,5,14,18,32,37,4,10060004100,8,1257500513
2,13,34,38,42,45,16,10150293000,3,3383431000
6,8,14,21,30,37,45,9871005000,9,1096778334
18,24,26,29,34,38,32,10075752300,7,1439393186
1,8,19,34,39,43,41,10480454400,7,1497207772
1,13,14,33,34,43,25,10362287400,3,3454095800
1,10,17,29,31,43,15,10302918000,6,1717153000
1,2,15,28,34,45,38,10269745800,7,1467106543
15,20,23,29,39,42,2,10407155100,2,5203577550
5,13,14,22,44,45,33,10088636700,5,2017727340
3,8,13,27,32,42,10,10196370000,7,1456624286
3,14,17,20,24,31,34,9899982000,3,3299994000
5,13,14,20,24,25,36,10059627000,3,3353209000
1,8,18,24,29,33,35,9909472200,9,1101052467
5,25,27,29,34,36,33,10333428600,4,2583357150
5,16,17,20,26,41,24,10397149500,6,1732858250
11,16,19,22,29,36,26,10581676500,2,5290838250
14,19,36,43,44,45,1,10622321700,5,2124464340
5,8,29,30,35,44,38,10727124000,5,2145424800
2,8,14,25,29,45,24,10414667400,9,1157185267
10,14,18,21,36,37,5,10626788700,2,5313394350
1,9,10,12,21,40,37,10417964700,3,3472654900
1,10,19,20,24,40,23,10293700800,8,1286712600
4,16,23,25,35,40,27,10700148600,3,3566716200
5,10,16,24,27,35,33,10311805800,7,1473115115
2,3,22,27,30,40,29,10376547900,6,1729424650
11,12,14,21,32,38,6,10463642400,4,2615910600
2,5,7,14,16,40,4,10127659200,4,2531914800
5,15,21,25,26,30,31,10697716800,1,10697716800
5,12,19,26,27,44,38,10703107800,2,5351553900
3,22,25,29,32,44,19,11072156100,7,1581736586
11,21,24,30,39,45,26,10260775800,7,1465825115
17,20,35,36,41,43,21,11053066500,6,1842177750
16,18,24,42,44,45,17,11752593600,7,1678941943
7,9,15,26,27,42,18,10668913800,7,1524130543
8,11,14,16,18,21,13,10733338800,9,1192593200
15,26,37,42,43,45,9,11167204500,4,2791801125
11,13,15,17,25,34,26,11057435700,2,5528717850
4,8,19,25,27,45,7,11068988400,7,1581284058
1,11,13,24,28,40,7,11741494800,6,1956915800
6,22,29,37,43,45,23,11736256200,3,3912085400
5,22,29,31,34,39,43,11588491200,5,2317698240
6,10,22,31,35,40,19,11192998500,7,1598999786
1,2,8,17,26,37,27,10737099300,4,2684274825
1,5,10,12,16,20,11,10749039900,19,565738895
10,15,22,24,27,42,19,11080049400,6,1846674900
4,15,28,33,37,40,25,10789566300,3,3596522100
11,22,24,32,36,38,7,10976202600,3,3658734200
7,12,19,21,29,32,9,10794228900,7,1542032700
4,7,10,19,31,40,26,10429533300,10,1042953330
1,26,31,34,40,43,20,10702134000,4,2675533500
1,8,9,17,29,32,45,10182175500,4,2545543875
7,16,18,20,23,26,3,10595135100,5,2119027020
16,17,28,37,39,40,15,10373997900,1,10373997900
10,11,18,22,28,39,30,10508749800,1,10508749800
1,3,7,8,24,42,43,10281172200,6,1713528700
9,16,28,40,41,43,21,10896031800,8,1362003975
1,13,20,22,25,28,15,10654349100,1,10654349100
11,15,20,26,31,35,7,10742445000,7,1534635000
18,20,31,34,40,45,30,10593244800,2,5296622400
12,13,17,22,25,33,8,10498559100,3,3499519700
10,15,20,23,42,44,7,10722502200,4,2680625550
1,2,9,17,19,42,20,10214839800,8,1276854975
9,21,27,34,41,43,2,10679337300,4,2669834325
6,12,18,31,38,43,9,10513933125,9,1168214792
5,9,15,19,22,36,32,10648824750,4,2662206188
10,14,22,24,28,37,26,10611984375,5,2122396875
5,20,21,24,33,40,36,10699978125,3,3566659375
1,2,10,25,26,44,4,10631634000,3,3543878000
7,12,21,24,27,36,45,10780712250,5,2156142450
6,7,13,16,24,25,1,11547951000,7,1649707286
9,20,21,22,30,37,16,11176879125,5,2235375825
6,9,21,31,32,40,38,11587959000,4,2896989750
1,3,18,32,40,41,16,11244021375,9,1249335709
11,14,22,35,37,39,5,11438730750,12,953227563
4,7,39,41,42,45,40,11593398750,7,1656199822
2,9,15,23,34,40,3,11258694000,4,2814673500
2,14,15,22,23,44,43,11703832500,1,11703832500
7,17,20,26,30,40,24,10673459250,8,1334182407
5,6,8,11,22,26,44,10720371000,10,1072037100
4,5,14,20,22,43,44,11273319750,4,2818329938
11,13,15,26,28,34,31,11485198125,8,1435649766
2,11,13,14,28,30,7,11389472250,3,3796490750
4,9,10,29,31,34,27,11398851000,8,1424856375
6,11,26,27,28,44,30,11605721625,5,2321144325
8,15,19,21,34,44,12,13231508250,6,2205251375
1,17,27,28,29,40,5,11688461625,3,3896153875
10,11,26,31,34,44,30,11094808125,10,1109480813
8,10,14,27,33,38,3,12278664000,8,1534833000
4,17,18,27,39,43,19,12228934500,4,3057233625
6,7,15,24,28,30,21,12571445625,1,12571445625
12,16,19,22,37,40,8,12939148875,9,1437683209
3,23,28,34,39,42,16,13373142375,9,1485904709
1,3,16,18,30,34,44,12894105750,8,1611763219
18,22,25,31,38,45,6,12684340125,10,1268434013
2,3,5,11,27,39,33,11497137750,5,2299427550
19,23,29,33,35,43,27,13005238500,11,1182294410
3,13,20,24,33,37,35,11840482125,8,1480060266
8,16,26,30,38,45,42,12875500125,10,1287550013
9,14,20,22,33,34,28,12098132625,8,1512266579
11,16,29,38,41,44,21,12577472625,6,2096245438
6,12,20,26,29,38,45,12394279500,9,1377142167
17,20,30,31,37,40,25,11400464250,6,1900077375
10,22,28,34,36,44,2,11975238000,6,1995873000
1,23,28,30,34,35,9,12681668250,4,3170417063
25,27,29,36,38,40,41,12720717375,9,1413413042
4,6,10,19,20,44,14,11948378250,9,1327597584
11,13,23,35,43,45,17,12462565875,3,4154188625
13,20,21,30,39,45,32,12541781250,7,1791683036
1,11,12,14,26,35,6,12153742875,3,4051247625
2,7,8,9,17,33,34,10631764500,4,2657941125
3,7,13,27,40,41,36,12078638250,3,4026212750
3,10,20,26,35,43,36,12179145750,3,4059715250
6,14,19,21,23,31,13,11942349750,6,1990391625
12,15,20,24,30,38,29,11467806375,13,882138952
8,10,18,30,32,34,27,11492118000,9,1276902000
12,24,33,38,40,42,30,11313661875,5,2262732375
13,25,27,34,38,41,10,11263879125,7,1609125590
4,19,20,26,30,35,24,11449980375,7,1635711483
1,7,12,18,23,27,44,11189535375,7,1598505054
8,10,18,23,27,40,33,11599028250,10,1159902825
4,9,10,32,36,40,18,12870501000,8,1608812625
4,6,10,14,25,40,12,11590895625,7,1655842233
8,11,28,30,43,45,41,12723583125,4,3180895782
11,18,26,31,37,40,43,11692049250,6,1948674875
3,20,24,32,37,45,4,11868474375,8,1483559297
23,29,31,33,34,44,40,12140599125,0,0
6,12,15,34,42,44,4,43624374375,13,3355721106
1,8,11,13,22,38,31,13465640250,7,1923662893
4,10,13,23,32,44,20,13772821125,9,1530313459
2,12,14,17,24,40,39,12918969750,9,1435441084
8,13,15,28,37,43,17,13744774500,9,1527197167
4,21,22,34,37,38,33,13320525000,4,3330131250
10,16,20,39,41,42,27,12999991875,3,4333330625
6,13,29,37,39,41,43,13575330000,7,1939332858
16,25,26,31,36,43,44,12667592625,7,1809656090
8,13,20,22,23,36,34,13001672250,4,3250418063
4,13,18,31,33,45,43,14050362000,15,936690800
1,9,14,16,21,29,3,13551384375,8,1693923047
9,12,13,15,37,38,27,13759405875,4,3439851469
14,25,29,32,33,45,37,15352094625,8,1919011829
18,29,30,37,39,43,8,13821146626,14,987224759
8,23,25,27,35,44,24,13398279000,6,2233046500
3,5,10,17,30,31,16,11986969125,4,2996742282
3,4,23,29,40,41,20,13918067250,3,4639355750
1,10,16,24,25,35,43,13285448250,7,1897921179
12,15,19,22,28,34,5,12835983375,5,2567196675
1,3,27,28,32,45,11,13831818375,6,2305303063
17,22,26,27,36,39,20,13513274250,9,1501474917
1,2,23,25,38,40,43,13112243625,13,1008634125
4,8,25,27,37,41,21,13110646125,8,1638830766
2,8,17,30,31,38,25,13303935750,10,1330393575
2,4,8,15,20,27,11,12638163750,6,2106360625
2,7,26,29,40,43,42,13021639125,7,1860234161
8,17,35,36,39,42,4,13218537750,4,3304634438
22,27,31,35,37,40,42,12465069000,5,2493013800
20,22,26,33,36,37,25,13060083000,9,1451120334
5,7,8,15,30,43,22,12655060875,12,1054588407
4,13,22,27,34,44,6,12669870000,6,2111645000
4,13,20,29,36,41,39,13143729000,4,3285932250
19,20,23,24,43,44,13,13336906875,6,2222817813
13,14,24,32,39,41,3,12978012375,4,3244503094
5,20,23,27,35,40,43,12211440750,3,4070480250
3,4,12,20,24,34,41,12159651375,9,1351072375
1,4,10,17,31,42,2,12100800375,4,3025200094
6,22,28,32,34,40,26,13208748750,6,2201458125
1,5,27,30,34,36,40,12975444375,7,1853634911
6,14,22,26,43,44,31,12989132625,9,1443236959
7,20,22,25,38,40,44,11507731125,6,1917955188
6,9,11,22,24,30,31,12220001625,3,4073333875
12,13,32,33,40,41,4,12747949875,9,1416438875
5,27,31,34,35,43,37,12796462875,8,1599557860
12,25,29,35,42,43,24,13445380500,5,2689076100
12,29,32,33,39,40,42,13220790750,5,2644158150
3,7,14,23,26,42,24,12993475500,6,2165579250
4,5,9,13,26,27,1,12221227875,13,940094452
5,8,21,23,27,33,12,13768874250,3,4589624750
1,15,20,26,35,42,9,13353166500,3,4451055500
2,11,12,15,23,37,8,13200466875,1,13200466875
2,8,23,41,43,44,30,14236092000,11,1294190182
1,9,12,28,36,41,10,13295288625,5,2659057725
14,23,30,32,34,38,6,13582824750,6,2263804125
6,8,13,16,30,43,3,13654209750,7,1950601393
4,22,27,28,38,40,1,13003232625,6,2167205438
3,7,18,29,32,36,19,13547367375,8,1693420922
4,5,13,14,37,41,11,13689738000,6,2281623000
1,4,37,38,40,45,7,12462490875,7,1780355840
10,11,29,38,41,45,21,13966782375,4,3491695594
11,23,26,29,39,44,22,13510191375,9,1501132375
7,14,17,20,35,39,31,13419287625,9,1491031959
1,12,22,32,33,42,38,13421022750,13,1032386366
5,17,25,31,39,40,10,13176780375,11,1197889125
18,20,24,27,31,42,39,13992918375,8,1749114797
16,23,27,29,33,41,22,13548218625,11,1231656239
1,5,9,21,27,35,45,13693677750,9,1521519750
16,17,23,24,29,44,3,15518274000,7,2216896286
9,14,15,17,31,33,23,14285372625,8,1785671579
10,24,26,29,37,38,32,14215763250,1,14215763250
11,12,14,15,18,39,34,14806809000,3,4935603000
7,8,18,32,37,43,12,14393759625,11,1308523603
12,23,26,30,36,43,11,14728272375,7,2104038911
6,10,18,31,32,34,11,14064064875,3,4688021625
3,19,22,31,42,43,26,14589330000,9,1621036667
3,12,13,15,34,36,14,13925556750,7,1989365250
8,13,26,28,32,34,43,13962598875,11,1269327171
5,6,19,26,41,45,34,14010915375,6,2335152563
13,18,26,31,34,44,12,13355218125,12,1112934844
5,17,21,25,36,44,10,13603049625,13,1046388433
